"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sign In Page","1","Registered Customers","17","0","","0"
"53","Main Page","0","Promo Block Testing","10","0","","0"
"0","Test Footer","0","","47","65","","0"
"0","Create An Account","0","","28","2","","0"
"0","MenPage","7","","12","30","","0"
"0","","2","","7","0","","0"
"0","Main Page","0","Testing Hot Seller Section","16","1","","0"
"0","Sale Page","1","Testing Promo Blocks, Main Block (Women's Deals) and 2 columns block - Men's Bargain, Gear Steals","14","0","","0"
"0","Forgot Your Password Page","0","","9","11","","0"
"9","Test Header","7","","36","1","","0"
"0","Sale Page","2","Testing Side Menu Bar - Women's Deals Section","11","0","","0"
"0","Training Page","0","Testing Training Page Sidebar","8","7","","0"
"0","","2","Shopping Cart is full","17","0","","0"
"2","","0","Failed Login Functionality","13","0","","0"
"0","Forgot Your Password Functionality","0","","1","3","","0"
"0","Sale Page","1","Testing Side Menu Bar - Men's Deals Section","9","1","","0"
"0","Test Training Video","0","","6","0","","0"
"0","","1","New Customers","4","0","","0"
"1","","0","Login Functionality","4","0","","0"
"0","Sale Page","1","Testing Side Menu Bar - Gear Deals Section","4","0","","0"
"0","Review Page","0","","5","0","","0"
"0","Shopping Cart","0","Shopping Cart is empty","3","0","","0"
"0","WomenPage","0","","6","0","","0"
"0","Orders and Returns","0","","3","0","","0"
