"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check that Contact Us link in footer is correct","0","TC 02.02.05 - Check Contact Us link in footer leads to the correct page from each page specified in DATA_1","tests","Sun Aug 17 01:31:54 UTC 2025","skipped","Sun Aug 17 01:31:54 UTC 2025","TestFooter","test_footer","",""
"This test checks if block 5 'home-eco' is displayed in section 2
            of Promo Block under header on the main page","8127","TC 13.01.14 - Check display of block 5 'home-eco' in section 2 in the Promo Block","tests","Sun Aug 17 01:39:28 UTC 2025","broken","Sun Aug 17 01:39:36 UTC 2025","TestMainPage","test_main_page","",""
"Verify that the section Women in the header is visible and interactive","486","TC 01.03.03 display and interactivity of the ""Women"" section","tests","Sun Aug 17 01:33:42 UTC 2025","passed","Sun Aug 17 01:33:43 UTC 2025","TestHeader","test_header","",""
"Check img existence of Women's Deals section","134","TC 10.04.01 - Verify that the Women Deals contains an image","tests","Sun Aug 17 01:48:28 UTC 2025","passed","Sun Aug 17 01:48:28 UTC 2025","TestSalePage","test_sale","",""
"Verify the link 'Sale' is visible and interactive","1696","TC 01.03.35 visible and interactive the link ""Sale""","tests","Sun Aug 17 01:33:21 UTC 2025","passed","Sun Aug 17 01:33:23 UTC 2025","TestHeader","test_header","",""
"Checks if text of Copyright section is correct on each page in DATA_1","0","TC 02.01.37 - Check text of Copyright section on each page specified in DATA_1","tests","Sun Aug 17 01:31:30 UTC 2025","skipped","Sun Aug 17 01:31:30 UTC 2025","TestFooter","test_footer","",""
"Checks if Advanced Search link is present in the DOM tree on each page specified in DATA_1","1245","TC 02.01.13 - Check Advanced Search link is present in the DOM tree on each page specified in DATA_1","tests","Sun Aug 17 01:30:26 UTC 2025","passed","Sun Aug 17 01:30:28 UTC 2025","TestFooter","test_footer","",""
"Check the 'Tops' subsection in 'Men' section is displayed and the 'Jackets', 'Shorts',         'Hoodies & Sweatshirts', 'Tees' and 'Tanks' subsections is displayed","2141","TC 01.03.17 display and interactivity of the ""Tops"" section of the ""Men"" section","tests","Sun Aug 17 01:34:41 UTC 2025","passed","Sun Aug 17 01:34:43 UTC 2025","TestHeader","test_header","",""
"This test checks if the image in section 2 block 5 'home-eco' is visible","1262","TC 13.01.36 - Check the display of an image in block 5 'home-eco' in the Promo Block","tests","Sun Aug 17 01:41:39 UTC 2025","broken","Sun Aug 17 01:41:40 UTC 2025","TestMainPage","test_main_page","",""
"Check that five links in Men's Deals section lead to the correct pages after click","1523","TC 10.02.03, 10.02.05, 10.02.07, 10.02.09, 10.02.11 - Verify 5 links in Men's Deals open the correct pages","tests","Sun Aug 17 01:48:03 UTC 2025","passed","Sun Aug 17 01:48:05 UTC 2025","TestSalePage","test_sale","",""
