"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Sale Page","Testing Side Menu Bar - Men's Deals Section","","0","1","9","1","0"
"Create An Account","","","0","0","28","2","0"
"","Failed Login Functionality","","0","10","5","0","0"
"Test Footer","","","0","0","47","65","0"
"MenPage","","","0","0","19","30","0"
"Main Page","Promo Block Testing","","0","1","62","0","0"
"Sale Page","Testing Side Menu Bar - Women's Deals Section","","0","1","12","0","0"
"Test Header","","","0","7","45","1","0"
"Main Page","Testing Hot Seller Section","","0","0","12","5","0"
"Sign In Page","Registered Customers","","0","1","17","0","0"
"","Shopping Cart is full","","1","11","7","0","0"
"WomenPage","","","0","0","6","0","0"
"Sale Page","Testing Side Menu Bar - Gear Deals Section","","0","2","3","0","0"
"Forgot Your Password Functionality","","","0","0","1","3","0"
"Training Page","Testing Training Page Sidebar","","0","0","8","7","0"
"Sale Page","Testing Promo Blocks, Main Block (Women's Deals) and 2 columns block - Men's Bargain, Gear Steals","","0","2","13","0","0"
"Forgot Your Password Page","","","0","0","9","11","0"
"","New Customers","","0","0","5","0","0"
"Test Training Video","","","0","0","6","0","0"
"","Login Functionality","","0","1","4","0","0"
"Review Page","","","0","0","4","1","0"
"Orders and Returns","","","0","0","3","0","0"
"Shopping Cart","Shopping Cart is empty","","0","0","3","0","0"
"","","","0","0","9","0","0"
